caseid,schoolid,score,cohort90,female,sclass,schtype,schurban,schdenom
18,1,0,-6,1,2,0,1,0
17,1,10,-6,1,2,0,1,0
19,1,0,-6,1,4,0,1,0
20,1,40,-6,1,3,0,1,0
21,1,42,-6,1,2,0,1,0
13,1,4,-6,1,2,0,1,0
16,1,0,-6,1,3,0,1,0
14,1,0,-6,1,4,0,1,0
15,1,14,-6,1,3,0,1,0
12,1,27,-6,1,2,0,1,0
12865,1,18,-2,1,2,0,1,0
6509,1,23,-4,1,1,0,1,0
12866,1,24,-2,1,2,0,1,0
12867,1,0,-2,1,3,0,1,0
6502,1,25,-4,1,2,0,1,0
6505,1,4,-4,1,3,0,1,0
6508,1,11,-4,1,2,0,1,0
6506,1,0,-4,1,4,0,1,0
6507,1,8,-4,1,3,0,1,0
12868,1,27,-2,1,3,0,1,0
7,1,7,-6,0,3,0,1,0
6,1,0,-6,0,2,0,1,0
8,1,0,-6,0,3,0,1,0
9,1,47,-6,0,3,0,1,0
10,1,22,-6,0,3,0,1,0
2,1,26,-6,0,2,0,1,0
5,1,0,-6,0,3,0,1,0
3,1,12,-6,0,3,0,1,0
4,1,34,-6,0,2,0,1,0
12871,1,13,-2,0,3,0,1,0
12864,1,15,-2,0,3,0,1,0
12863,1,51,-2,0,4,0,1,0
12869,1,0,-2,0,3,0,1,0
12870,1,19,-2,0,4,0,1,0
11,1,27,-6,0,2,0,1,0
6504,1,42,-4,0,2,0,1,0
6503,1,4,-4,0,2,0,1,0
12862,1,40,-2,0,2,0,1,0
6510,1,12,-4,0,3,0,1,0
6511,1,46,-4,0,3,0,1,0
1,1,25,-6,0,2,0,1,0
38,2,39,-6,1,2,0,1,0
37,2,54,-6,1,1,0,1,0
39,2,29,-6,1,2,0,1,0
40,2,47,-6,1,2,0,1,0
6514,2,0,-4,1,3,0,1,0
29,2,35,-6,1,1,0,1,0
36,2,52,-6,1,2,0,1,0
30,2,42,-6,1,1,0,1,0
34,2,3,-6,1,2,0,1,0
27,2,22,-6,1,2,0,1,0
26347,2,32,6,1,2,0,1,0
26348,2,28,6,1,2,0,1,0
26346,2,3,6,1,1,0,1,0
26345,2,63,6,1,1,0,1,0
6516,2,45,-4,1,1,0,1,0
30629,2,63,8,1,2,0,1,0
26349,2,36,6,1,4,0,1,0
30628,2,57,8,1,2,0,1,0
30627,2,59,8,1,1,0,1,0
26344,2,48,6,1,1,0,1,0
30647,2,31,8,1,2,0,1,0
30648,2,45,8,1,1,0,1,0
30643,2,60,8,1,1,0,1,0
30640,2,29,8,1,3,0,1,0
30639,2,45,8,1,1,0,1,0
30656,2,26,8,0,4,0,1,0
30649,2,31,8,1,2,0,1,0
30652,2,29,8,1,2,0,1,0
30651,2,53,8,1,2,0,1,0
25,2,25,-6,1,2,0,1,0
30630,2,59,8,1,2,0,1,0
30631,2,39,8,1,2,0,1,0
23,2,26,-6,1,2,0,1,0
24,2,22,-6,1,3,0,1,0
30638,2,49,8,1,1,0,1,0
30637,2,39,8,1,3,0,1,0
30634,2,48,8,1,1,0,1,0
30636,2,9,8,1,4,0,1,0
30635,2,41,8,1,1,0,1,0
30654,2,32,8,0,2,0,1,0
12872,2,55,-2,1,2,0,1,0
12873,2,0,-2,1,1,0,1,0
6546,2,47,-4,1,1,0,1,0
6544,2,15,-4,1,4,0,1,0
6541,2,22,-4,1,3,0,1,0
12884,2,38,-2,1,1,0,1,0
12874,2,37,-2,1,4,0,1,0
12879,2,29,-2,1,3,0,1,0
12875,2,39,-2,1,1,0,1,0
12885,2,45,-2,1,1,0,1,0
6525,2,37,-4,1,1,0,1,0
6526,2,20,-4,1,3,0,1,0
6521,2,48,-4,1,1,0,1,0
6520,2,0,-4,1,3,0,1,0
6539,2,39,-4,1,3,0,1,0
6536,2,36,-4,1,2,0,1,0
6530,2,28,-4,1,3,0,1,0
6535,2,25,-4,1,2,0,1,0
6534,2,27,-4,1,3,0,1,0
26343,2,60,6,1,2,0,1,0
26326,2,30,6,1,1,0,1,0
26327,2,63,6,1,2,0,1,0
26325,2,68,6,1,1,0,1,0
18457,2,10,0,1,1,0,1,0
18456,2,5,0,1,4,0,1,0
26342,2,61,6,1,2,0,1,0
26328,2,47,6,1,1,0,1,0
26331,2,55,6,1,1,0,1,0
26330,2,45,6,1,3,0,1,0
12887,2,28,-2,1,1,0,1,0
12890,2,28,-2,1,1,0,1,0
12892,2,52,-2,1,1,0,1,0
12889,2,48,-2,1,1,0,1,0
12888,2,26,-2,1,2,0,1,0
18455,2,30,0,1,4,0,1,0
18453,2,54,0,1,2,0,1,0
18454,2,32,0,1,1,0,1,0
18441,2,30,0,1,3,0,1,0
18451,2,46,0,1,1,0,1,0
18445,2,14,0,1,1,0,1,0
6519,2,25,-4,1,2,0,1,0
12877,2,50,-2,0,4,0,1,0
12876,2,31,-2,0,1,0,1,0
6549,2,31,-4,0,4,0,1,0
