person,condition,RT,FI,stimulus,included
1,before,NA,57.2,1,FALSE
1,before,4004,57.2,2,FALSE
1,before,1364,57.2,3,FALSE
1,before,1550,57.2,4,FALSE
1,before,NA,57.2,5,FALSE
1,before,251,57.2,6,TRUE
1,before,264,57.2,7,TRUE
1,before,221,57.2,8,TRUE
1,before,221,57.2,9,TRUE
1,before,256,57.2,10,TRUE
1,before,281,57.2,11,TRUE
1,before,229,57.2,12,TRUE
1,before,205,57.2,13,TRUE
1,before,212,57.2,14,TRUE
1,before,206,57.2,15,TRUE
1,before,219,57.2,16,TRUE
1,before,218,57.2,17,TRUE
1,before,238,57.2,18,TRUE
1,before,221,57.2,19,TRUE
1,before,225,57.2,20,TRUE
1,before,239,57.2,21,TRUE
1,before,216,57.2,22,TRUE
1,before,212,57.2,23,TRUE
1,before,207,57.2,24,TRUE
1,before,214,57.2,25,TRUE
1,before,269,57.2,26,TRUE
1,before,208,57.2,27,TRUE
1,before,208,57.2,28,TRUE
1,after,276,57.2,1,FALSE
1,after,332,57.2,2,FALSE
1,after,233,57.2,3,FALSE
1,after,275,57.2,4,FALSE
1,after,215,57.2,5,TRUE
1,after,245,57.2,6,TRUE
1,after,218,57.2,7,TRUE
1,after,254,57.2,8,TRUE
1,after,228,57.2,9,TRUE
1,after,210,57.2,10,TRUE
1,after,258,57.2,11,TRUE
1,after,277,57.2,12,TRUE
1,after,213,57.2,13,TRUE
1,after,205,57.2,14,TRUE
1,after,218,57.2,15,TRUE
1,after,207,57.2,16,TRUE
1,after,223,57.2,17,TRUE
1,after,196,57.2,18,TRUE
1,after,227,57.2,19,TRUE
1,after,254,57.2,20,TRUE
1,after,251,57.2,21,TRUE
1,after,229,57.2,22,TRUE
1,after,211,57.2,23,TRUE
1,after,241,57.2,24,TRUE
1,after,250,57.2,25,TRUE
1,after,277,57.2,26,TRUE
1,after,228,57.2,27,TRUE
1,after,245,57.2,28,TRUE
2,before,325,43.6,1,FALSE
2,before,235,43.6,2,FALSE
2,before,251,43.6,3,FALSE
2,before,227,43.6,4,FALSE
2,before,188,43.6,5,TRUE
2,before,308,43.6,6,TRUE
2,before,236,43.6,7,TRUE
2,before,246,43.6,8,TRUE
2,before,264,43.6,9,TRUE
2,before,265,43.6,10,TRUE
2,before,237,43.6,11,TRUE
2,before,287,43.6,12,TRUE
2,before,217,43.6,13,TRUE
2,before,256,43.6,14,TRUE
2,before,251,43.6,15,TRUE
2,before,232,43.6,16,TRUE
2,before,202,43.6,17,TRUE
2,before,212,43.6,18,TRUE
2,before,215,43.6,19,TRUE
2,before,247,43.6,20,TRUE
2,before,284,43.6,21,TRUE
2,before,214,43.6,22,TRUE
2,before,211,43.6,23,TRUE
2,before,200,43.6,24,TRUE
2,before,218,43.6,25,TRUE
2,before,271,43.6,26,TRUE
2,before,186,43.6,27,TRUE
2,before,184,43.6,28,TRUE
2,after,300,43.6,1,FALSE
2,after,234,43.6,2,FALSE
2,after,228,43.6,3,FALSE
2,after,256,43.6,4,FALSE
2,after,246,43.6,5,TRUE
2,after,299,43.6,6,TRUE
2,after,259,43.6,7,TRUE
2,after,241,43.6,8,TRUE
2,after,329,43.6,9,TRUE
2,after,291,43.6,10,TRUE
2,after,254,43.6,11,TRUE
2,after,320,43.6,12,TRUE
2,after,252,43.6,13,TRUE
2,after,336,43.6,14,TRUE
2,after,238,43.6,15,TRUE
2,after,276,43.6,16,TRUE
2,after,256,43.6,17,TRUE
2,after,214,43.6,18,TRUE
2,after,261,43.6,19,TRUE
2,after,275,43.6,20,TRUE
2,after,251,43.6,21,TRUE
2,after,210,43.6,22,TRUE
2,after,248,43.6,23,TRUE
2,after,204,43.6,24,TRUE
2,after,222,43.6,25,TRUE
2,after,258,43.6,26,TRUE
2,after,255,43.6,27,TRUE
2,after,246,43.6,28,TRUE
3,before,204,41.7,1,FALSE
3,before,218,41.7,2,FALSE
3,before,244,41.7,3,FALSE
3,before,243,41.7,4,FALSE
3,before,221,41.7,5,TRUE
3,before,211,41.7,6,TRUE
3,before,188,41.7,7,TRUE
3,before,242,41.7,8,TRUE
3,before,252,41.7,9,TRUE
3,before,217,41.7,10,TRUE
3,before,200,41.7,11,TRUE
3,before,224,41.7,12,TRUE
3,before,251,41.7,13,TRUE
3,before,239,41.7,14,TRUE
3,before,239,41.7,15,TRUE
3,before,206,41.7,16,TRUE
3,before,241,41.7,17,TRUE
3,before,238,41.7,18,TRUE
3,before,245,41.7,19,TRUE
3,before,247,41.7,20,TRUE
3,before,238,41.7,21,TRUE
3,before,248,41.7,22,TRUE
3,before,260,41.7,23,TRUE
3,before,245,41.7,24,TRUE
3,before,237,41.7,25,TRUE
3,before,253,41.7,26,TRUE
3,before,241,41.7,27,TRUE
3,before,225,41.7,28,TRUE
3,after,189,41.7,1,FALSE
3,after,210,41.7,2,FALSE
3,after,230,41.7,3,FALSE
3,after,221,41.7,4,FALSE
3,after,235,41.7,5,TRUE
3,after,307,41.7,6,TRUE
3,after,268,41.7,7,TRUE
3,after,223,41.7,8,TRUE
3,after,231,41.7,9,TRUE
3,after,204,41.7,10,TRUE
3,after,371,41.7,11,TRUE
3,after,223,41.7,12,TRUE
3,after,252,41.7,13,TRUE
3,after,249,41.7,14,TRUE
3,after,234,41.7,15,TRUE
3,after,378,41.7,16,TRUE
3,after,218,41.7,17,TRUE
3,after,219,41.7,18,TRUE
3,after,263,41.7,19,TRUE
3,after,291,41.7,20,TRUE
3,after,246,41.7,21,TRUE
3,after,255,41.7,22,TRUE
3,after,238,41.7,23,TRUE
3,after,230,41.7,24,TRUE
3,after,249,41.7,25,TRUE
3,after,234,41.7,26,TRUE
3,after,250,41.7,27,TRUE
3,after,240,41.7,28,TRUE
4,before,405,41.4,1,FALSE
4,before,225,41.4,2,FALSE
4,before,270,41.4,3,FALSE
4,before,293,41.4,4,FALSE
4,before,232,41.4,5,TRUE
4,before,229,41.4,6,TRUE
4,before,210,41.4,7,TRUE
4,before,241,41.4,8,TRUE
4,before,241,41.4,9,TRUE
4,before,235,41.4,10,TRUE
4,before,257,41.4,11,TRUE
4,before,206,41.4,12,TRUE
4,before,249,41.4,13,TRUE
4,before,244,41.4,14,TRUE
4,before,377,41.4,15,TRUE
4,before,285,41.4,16,TRUE
4,before,236,41.4,17,TRUE
4,before,235,41.4,18,TRUE
4,before,244,41.4,19,TRUE
4,before,239,41.4,20,TRUE
4,before,279,41.4,21,TRUE
4,before,227,41.4,22,TRUE
4,before,252,41.4,23,TRUE
4,before,257,41.4,24,TRUE
4,before,248,41.4,25,TRUE
4,before,228,41.4,26,TRUE
4,before,238,41.4,27,TRUE
4,before,249,41.4,28,TRUE
4,after,224,41.4,1,FALSE
4,after,258,41.4,2,FALSE
4,after,203,41.4,3,FALSE
4,after,216,41.4,4,FALSE
4,after,243,41.4,5,TRUE
4,after,281,41.4,6,TRUE
4,after,234,41.4,7,TRUE
4,after,205,41.4,8,TRUE
4,after,250,41.4,9,TRUE
4,after,267,41.4,10,TRUE
4,after,308,41.4,11,TRUE
4,after,246,41.4,12,TRUE
4,after,225,41.4,13,TRUE
4,after,247,41.4,14,TRUE
4,after,258,41.4,15,TRUE
4,after,262,41.4,16,TRUE
4,after,238,41.4,17,TRUE
4,after,292,41.4,18,TRUE
4,after,300,41.4,19,TRUE
4,after,318,41.4,20,TRUE
4,after,229,41.4,21,TRUE
4,after,217,41.4,22,TRUE
4,after,231,41.4,23,TRUE
4,after,319,41.4,24,TRUE
4,after,415,41.4,25,TRUE
4,after,262,41.4,26,TRUE
4,after,193,41.4,27,TRUE
4,after,249,41.4,28,TRUE
5,before,204,43.8,1,FALSE
5,before,252,43.8,2,FALSE
5,before,270,43.8,3,FALSE
5,before,278,43.8,4,FALSE
5,before,222,43.8,5,TRUE
5,before,234,43.8,6,TRUE
5,before,268,43.8,7,TRUE
5,before,247,43.8,8,TRUE
5,before,210,43.8,9,TRUE
5,before,230,43.8,10,TRUE
5,before,202,43.8,11,TRUE
5,before,231,43.8,12,TRUE
5,before,233,43.8,13,TRUE
5,before,245,43.8,14,TRUE
5,before,222,43.8,15,TRUE
5,before,220,43.8,16,TRUE
5,before,229,43.8,17,TRUE
5,before,213,43.8,18,TRUE
5,before,245,43.8,19,TRUE
5,before,253,43.8,20,TRUE
5,before,256,43.8,21,TRUE
5,before,299,43.8,22,TRUE
5,before,200,43.8,23,TRUE
5,before,225,43.8,24,TRUE
5,before,208,43.8,25,TRUE
5,before,203,43.8,26,TRUE
5,before,263,43.8,27,TRUE
5,before,247,43.8,28,TRUE
5,after,297,43.8,1,FALSE
5,after,217,43.8,2,FALSE
5,after,209,43.8,3,FALSE
5,after,223,43.8,4,FALSE
5,after,204,43.8,5,TRUE
5,after,213,43.8,6,TRUE
5,after,219,43.8,7,TRUE
5,after,224,43.8,8,TRUE
5,after,215,43.8,9,TRUE
5,after,250,43.8,10,TRUE
5,after,205,43.8,11,TRUE
5,after,268,43.8,12,TRUE
5,after,222,43.8,13,TRUE
5,after,182,43.8,14,TRUE
5,after,217,43.8,15,TRUE
5,after,260,43.8,16,TRUE
5,after,268,43.8,17,TRUE
5,after,287,43.8,18,TRUE
5,after,235,43.8,19,TRUE
5,after,220,43.8,20,TRUE
5,after,209,43.8,21,TRUE
5,after,284,43.8,22,TRUE
5,after,225,43.8,23,TRUE
5,after,238,43.8,24,TRUE
5,after,216,43.8,25,TRUE
5,after,205,43.8,26,TRUE
5,after,232,43.8,27,TRUE
5,after,226,43.8,28,TRUE
6,before,321,40.1,1,FALSE
6,before,265,40.1,2,FALSE
6,before,294,40.1,3,FALSE
6,before,305,40.1,4,FALSE
6,before,296,40.1,5,TRUE
6,before,300,40.1,6,TRUE
6,before,295,40.1,7,TRUE
6,before,286,40.1,8,TRUE
6,before,275,40.1,9,TRUE
6,before,274,40.1,10,TRUE
6,before,409,40.1,11,TRUE
6,before,275,40.1,12,TRUE
6,before,320,40.1,13,TRUE
6,before,306,40.1,14,TRUE
6,before,256,40.1,15,TRUE
6,before,291,40.1,16,TRUE
6,before,300,40.1,17,TRUE
6,before,270,40.1,18,TRUE
6,before,282,40.1,19,TRUE
6,before,309,40.1,20,TRUE
6,before,302,40.1,21,TRUE
6,before,306,40.1,22,TRUE
6,before,265,40.1,23,TRUE
6,before,297,40.1,24,TRUE
6,before,301,40.1,25,TRUE
6,before,286,40.1,26,TRUE
6,before,312,40.1,27,TRUE
6,before,312,40.1,28,TRUE
6,after,392,40.1,1,FALSE
6,after,317,40.1,2,FALSE
6,after,365,40.1,3,FALSE
6,after,335,40.1,4,FALSE
6,after,297,40.1,5,TRUE
6,after,304,40.1,6,TRUE
6,after,365,40.1,7,TRUE
6,after,313,40.1,8,TRUE
6,after,336,40.1,9,TRUE
6,after,327,40.1,10,TRUE
6,after,281,40.1,11,TRUE
6,after,294,40.1,12,TRUE
6,after,297,40.1,13,TRUE
6,after,253,40.1,14,TRUE
6,after,315,40.1,15,TRUE
6,after,458,40.1,16,TRUE
6,after,309,40.1,17,TRUE
6,after,386,40.1,18,TRUE
6,after,297,40.1,19,TRUE
6,after,329,40.1,20,TRUE
6,after,329,40.1,21,TRUE
6,after,291,40.1,22,TRUE
6,after,246,40.1,23,TRUE
6,after,249,40.1,24,TRUE
6,after,268,40.1,25,TRUE
6,after,337,40.1,26,TRUE
6,after,277,40.1,27,TRUE
6,after,277,40.1,28,TRUE
7,before,304,41.1,1,FALSE
7,before,249,41.1,2,FALSE
7,before,291,41.1,3,FALSE
7,before,293,41.1,4,FALSE
7,before,301,41.1,5,TRUE
7,before,295,41.1,6,TRUE
7,before,267,41.1,7,TRUE
7,before,255,41.1,8,TRUE
7,before,261,41.1,9,TRUE
7,before,255,41.1,10,TRUE
7,before,277,41.1,11,TRUE
7,before,278,41.1,12,TRUE
7,before,279,41.1,13,TRUE
7,before,339,41.1,14,TRUE
7,before,308,41.1,15,TRUE
7,before,308,41.1,16,TRUE
7,before,258,41.1,17,TRUE
7,before,274,41.1,18,TRUE
7,before,246,41.1,19,TRUE
7,before,278,41.1,20,TRUE
7,before,248,41.1,21,TRUE
7,before,262,41.1,22,TRUE
7,before,248,41.1,23,TRUE
7,before,216,41.1,24,TRUE
7,before,247,41.1,25,TRUE
7,before,250,41.1,26,TRUE
7,before,237,41.1,27,TRUE
7,before,261,41.1,28,TRUE
7,after,353,41.1,1,FALSE
7,after,347,41.1,2,FALSE
7,after,309,41.1,3,FALSE
7,after,289,41.1,4,FALSE
7,after,269,41.1,5,TRUE
7,after,298,41.1,6,TRUE
7,after,331,41.1,7,TRUE
7,after,236,41.1,8,TRUE
7,after,258,41.1,9,TRUE
7,after,273,41.1,10,TRUE
7,after,240,41.1,11,TRUE
7,after,243,41.1,12,TRUE
7,after,256,41.1,13,TRUE
7,after,253,41.1,14,TRUE
7,after,293,41.1,15,TRUE
7,after,325,41.1,16,TRUE
7,after,255,41.1,17,TRUE
7,after,265,41.1,18,TRUE
7,after,264,41.1,19,TRUE
7,after,330,41.1,20,TRUE
7,after,280,41.1,21,TRUE
7,after,221,41.1,22,TRUE
7,after,251,41.1,23,TRUE
7,after,283,41.1,24,TRUE
7,after,231,41.1,25,TRUE
7,after,220,41.1,26,TRUE
7,after,350,41.1,27,TRUE
7,after,256,41.1,28,TRUE
8,before,283,51.7,1,FALSE
8,before,256,51.7,2,FALSE
8,before,278,51.7,3,FALSE
8,before,272,51.7,4,FALSE
8,before,264,51.7,5,TRUE
8,before,262,51.7,6,TRUE
8,before,284,51.7,7,TRUE
8,before,273,51.7,8,TRUE
8,before,234,51.7,9,TRUE
8,before,307,51.7,10,TRUE
8,before,206,51.7,11,TRUE
8,before,275,51.7,12,TRUE
8,before,263,51.7,13,TRUE
8,before,243,51.7,14,TRUE
8,before,288,51.7,15,TRUE
8,before,259,51.7,16,TRUE
8,before,242,51.7,17,TRUE
8,before,251,51.7,18,TRUE
8,before,260,51.7,19,TRUE
8,before,274,51.7,20,TRUE
8,before,226,51.7,21,TRUE
